Município,Classificação,Funcionarios
Fortaleza de Minas,Agência e Operadores,0
Gonçalves,Entretenimento,2
Gonçalves,Comércio e Serviços,5
Gonçalves,Transportes,0
Gonçalves,Alimentação,52
Gonçalves,Agência e Operadores,0
Gonçalves,Hospedagem,50
Guapé,Transportes,5
Guapé,Alimentação,46
Guapé,Entretenimento,15
Guapé,Comércio e Serviços,9
Guapé,Agência e Operadores,1
Guapé,Hospedagem,59
Guaranésia,Transportes,21
Guaranésia,Comércio e Serviços,28
Guaranésia,Hospedagem,13
Guaranésia,Entretenimento,4
Guaranésia,Agência e Operadores,2
Guaranésia,Alimentação,53
Guaxupé,Transportes,61
Guaxupé,Comércio e Serviços,169
Guaxupé,Agência e Operadores,7
Guaxupé,Entretenimento,86
Guaxupé,Hospedagem,109
Guaxupé,Alimentação,448
Ibiraci,Transportes,0
Ibiraci,Hospedagem,0
Ibiraci,Comércio e Serviços,27
Ibiraci,Alimentação,46
Ibiraci,Entretenimento,7
Ibiraci,Agência e Operadores,0
Heliodora,Comércio e Serviços,7
Heliodora,Transportes,0
Heliodora,Hospedagem,1
Heliodora,Alimentação,3
Heliodora,Entretenimento,0
Heliodora,Agência e Operadores,0
Ibitiúra de Minas,Comércio e Serviços,4
Ibitiúra de Minas,Transportes,0
Ibitiúra de Minas,Hospedagem,0
Ibitiúra de Minas,Alimentação,2
Ibitiúra de Minas,Entretenimento,4
Ibitiúra de Minas,Agência e Operadores,0
Ilicínea,Transportes,0
Ilicínea,Alimentação,30
Ilicínea,Entretenimento,16
Ilicínea,Comércio e Serviços,1
Ilicínea,Agência e Operadores,0
Ilicínea,Hospedagem,4
Inconfidentes,Comércio e Serviços,19
Inconfidentes,Transportes,6
Inconfidentes,Alimentação,18
Inconfidentes,Entretenimento,6
Inconfidentes,Agência e Operadores,0
Inconfidentes,Hospedagem,4
Ipuiúna,Transportes,0
Ipuiúna,Alimentação,11
Ipuiúna,Comércio e Serviços,10
Ipuiúna,Hospedagem,3
Ipuiúna,Entretenimento,6
Ipuiúna,Agência e Operadores,0
Itajubá,Transportes,197
Itajubá,Entretenimento,152
Itajubá,Comércio e Serviços,344
